,col_labels,corr_values
82,3e0e55648,-0.09512799814453347
4382,5c0df6ac5,-0.09476818233630417
1839,f34f48706,-0.09422461588526748
1499,7ab926448,-0.094026470829583
3117,2e762ec53,-0.09398146749082768
3962,ccb68477c,-0.09364571772499587
678,7bf58da23,-0.09361753929676443
192,f7faf2d9f,-0.09356110007955558
562,fcc8443d9,-0.09352646276401332
3924,6af8b2246,-0.0935214995617328
3796,ed8ff54b5,-0.09352015642684935
1457,268040457,-0.0931920246945483
426,ff3ebf76b,-0.09309202138292914
431,3da2882fd,-0.09303509503153366
3478,a00a63886,-0.09297816399069832
4521,0a26a3cfe,-0.09272815088020216
4592,683d89bf1,-0.09196169199237247
2459,30768bc79,-0.0918035138890283
37,d04e16aed,-0.09171803201565529
2148,c63090352,-0.09135308779257292
4676,a19b05919,-0.09121607896140857
3912,a25bc2d4a,-0.09118162602894173
0,48df886f9,-0.09111943238507779
2893,fbc6c2b78,-0.091039539568002
3573,9c36a77b3,-0.09099398899827918
403,e2979b858,-0.09092681758871507
803,9a179ed71,-0.09089914715867617
338,3377a30e2,-0.09085369715757607
3862,d6a122efd,-0.09084476168750526
377,8e1822aa3,-0.0906701390589785
1871,9e3aea49a,-0.09013558534493532
3252,50aaba7f1,-0.09003205784615455
4435,ff96b95eb,-0.08990361716085105
1933,87a2d8324,-0.08977730100342046
1340,0db69e82d,-0.0897620375400393
556,acee6ff41,-0.0895954725381511
3803,22b3971f5,-0.08954936998030621
3359,26e998afd,-0.08903682755069832
2240,0e3ef9e8f,-0.08880724731268261
1908,6a3b5a968,-0.08878985128829403
3418,b791ce9aa,-0.0886566837057887
4426,0892b3439,-0.08846713610671206
4618,f7f553aea,-0.08839356466227176
4626,ed5af35f0,-0.08837691608960259
3200,6e76d5df3,-0.08830118835253095
482,cbeddb751,-0.08824932522126884
1785,c9eda7d9c,-0.0882371404649469
1605,d3245937e,-0.08823343351780943
3312,4bf2b8e7c,-0.0880427528778215
634,6a055c4fb,-0.08799801960752127
1991,10596ddee,-0.08799384428516027
4323,736fce873,-0.08766603875644022
4283,890163e1a,-0.0874653820787751
1364,ed1f680d4,-0.08735104404948917
4344,2b6f74f09,-0.08732636926082471
4153,2bf7dc91d,-0.08723946278036586
851,2c338b4d6,-0.08701386731932016
96,c16a7d537,-0.08663566208039204
536,a0a8005ca,-0.08658911375674959
143,fd206ec4d,-0.08658380737992634
1738,16a9296fd,-0.08653986537127822
1638,2daf6b624,-0.08649177823342617
736,5fe6867a4,-0.08648587712677958
119,42fdff3a0,-0.08644249770361506
2379,711c20509,-0.0863768361436346
2935,07b31de85,-0.08637529867448732
660,b41a9fc75,-0.08637339116655471
4004,10f17bd3e,-0.0863318168440099
1715,6e00fdaad,-0.08631437796431958
2466,d01cc5805,-0.0862764836911599
3645,f1c20e3ef,-0.08627170609002054
671,9ca9e4916,-0.0860847600064054
2177,d9ce16f1c,-0.0860540319351296
1507,d421e03fd,-0.08601590577319086
293,5661462ee,-0.08590506755341462
1339,870e70063,-0.08549486193894647
653,ec827621a,-0.08511452108281013
3030,1c486f8dd,-0.08503094580813661
2830,18cad608c,-0.08494086831616848
2202,172a58959,-0.08488349431000533
868,543c24e33,-0.08480923956791886
551,76a75bd91,-0.08480442346147386
1162,11b0ebe2a,-0.08467867965557309
2901,17e2a7989,-0.08465966220270356
728,5509e2e98,-0.0843847305786094
2381,0f81cc1d2,-0.0842848648999567
4681,b625fe55a,-0.0841905556171414
4270,cb7ecfc41,-0.08417718108336097
1265,a29c9f491,-0.08403357158953716
4698,ca04a07ca,-0.08394538983130728
4216,a8b590c6e,-0.08366388443000274
3023,8c564ae48,-0.08353849307104017
337,faf024fa9,-0.0834996809789136
2139,215c4d496,-0.08339390769480505
2701,509e911f0,-0.0831617902085592
871,83c3779bf,-0.08305242754705781
1341,36a56d23e,-0.08294462166352201
55,fa977f17b,-0.08282895964818134
3997,50a6c6789,-0.08281243494339123
2527,fa9d6b9e5,-0.08280685961608394
927,2135da74a,-0.0826877762956344
2066,964cd68bc,-0.08268470305414888
1809,9562ce5c8,-0.08227689748207645
2296,fe56ddf0f,-0.08221225679526811
549,78c239acf,-0.08215947711867519
3178,6bf90e4f5,-0.08212285227694804
811,d3ed79990,-0.08180201577603678
4157,ff2c9aa8f,-0.08137578427738279
1049,dee882846,-0.08130975481708931
1782,940151347,-0.08110592489916328
3835,1a44834bf,-0.08101662224649946
3919,44d132265,-0.07992388068060481
810,9161061c9,-0.07984976748037367
3373,467aa29ce,-0.0797519379854415
2448,34a4338bc,-0.07958899586509925
1081,8895ea516,-0.07956764524907095
4313,bf10af17e,-0.0794649922032989
997,4685cc47b,-0.0791760312151358
250,63be1f619,-0.07902912810701102
1550,26ab20ff9,-0.07886959934395786
4412,097836097,-0.07880768290953519
2396,df1ed6b50,-0.07875677665360085
1806,166ccc410,-0.07866405819638934
1995,9bed59a71,-0.07843131557760669
989,b47be7e76,-0.07827537097541118
2771,40e17d035,-0.07823953490536083
3136,91ace30bd,-0.07821190803944131
3745,8761d9bb0,-0.07809356549100624
295,7e1c4f651,-0.07800929457398756
3839,a6182b737,-0.07780446426118992
4514,f08c20722,-0.07746416709840907
1304,c9aaf844f,-0.07717721470022859
4338,6984f4045,-0.07713856514065132
1695,9133963bd,-0.07711593748119568
935,9d6b84f39,-0.07705508412786725
1891,5755fe831,-0.0767857384650862
1778,2bd16b689,-0.07669629715487389
583,3dc46e323,-0.07634048310578823
3378,44f3640e4,-0.07628203204135295
2537,15e4e8ee5,-0.07617519573723727
3889,4e5da0e96,-0.07612611597520433
690,034bec11b,-0.07609970895855953
2245,b6403de0b,-0.07591631956329961
3313,8b710e161,-0.07532967263379589
108,0cb171797,-0.07516309849638379
3051,ffd2f9409,-0.07409007044083578
4415,6bb4be4f2,-0.07408063272333959
1010,06a1c3b47,-0.07399931557871425
1177,9f494676e,-0.07397688457198684
2074,376474413,-0.07376082119418177
333,8516b48f5,-0.07353499964922569
2656,37426563f,-0.07343363447631876
3239,899dbe405,-0.07340863397640678
1046,d6006ff44,-0.07336927933696119
1815,ec5764030,-0.07321351481540472
3004,374b83757,-0.07319313300370404
1739,ebbd8432c,-0.07270873853447946
2319,f5538ee5c,-0.07259791312531898
2916,7124d86d9,-0.07250629988517367
1510,ba5bbaffc,-0.07245614067679808
1148,fbaed5913,-0.07217477796008981
1771,62ea662e7,-0.07211795078133909
1855,a60974604,-0.07211788068205584
789,4d5a5e150,-0.07199636488213838
1934,50a900e26,-0.07196028033831599
1234,75d240f7b,-0.0719498390780841
2896,eb7981dd4,-0.07189897731989082
1098,8d2d050a2,-0.07188759876166412
3829,39896d3dd,-0.07170809440198482
3363,dfde54714,-0.07166485408519152
787,775577e6f,-0.07156917322251105
2714,d7cdd8aef,-0.07143261968284914
3261,1998aa946,-0.07141456465161433
589,c593d73e8,-0.07136677491949446
2768,15960e710,-0.07115633114670866
3068,a0453715a,-0.07114235716740323
4149,a76ad8513,-0.07096665156409897
2722,0700acbe1,-0.07092085575182439
795,c99902a93,-0.0708785468007193
3134,55a7e0643,-0.07070457421238614
4029,c7fd9abc6,-0.07053585249692584
2749,84067cfe0,-0.07044607350147401
913,42cf36d73,-0.07039232806370606
3148,9847e14d8,-0.07022808892697223
4398,b33e83cdc,-0.07020039781862329
2852,5dd6254bb,-0.07006624399551585
2709,72e970835,-0.07004448057530664
3193,30a47af70,-0.06991908639727161
3847,ab8a614fa,-0.06988814373584594
705,55338de22,-0.06987386510822559
2884,4d9538272,-0.0698157922444881
2334,615cc4c17,-0.06975331594661137
3114,e9c45d66f,-0.06930316843996333
2372,020a817ab,-0.06928238810690417
291,342e7eb03,-0.06926459708682438
3249,03bfe48b2,-0.06909835269751352
1697,7250feb72,-0.0690970184687609
2496,2e768f672,-0.06909415213134626
828,6786ea46d,-0.06905044849872144
1865,02c1bd442,-0.068873895200801
4164,c380056bb,-0.06877562692010586
1898,8e8736fc8,-0.06847422053247869
4063,fe3fe2667,-0.06838543300080686
2402,c8ebd62ea,-0.0683659305792555
3304,0256b6714,-0.06829650619187655
1107,992b5c34d,-0.06796182235363903
106,e0f6a993a,-0.06787075956888532
3804,fd1102929,-0.06786155843078012
2443,3988d0c5e,-0.06782663893275684
1659,372daeab0,-0.06777034015369762
1380,6cf7866c1,-0.06762659390168933
3742,d19110e37,-0.0675942522810875
737,9df4daa99,-0.06753489607790708
1793,c18cc7d3d,-0.0675112727378476
280,aeb3a6ccf,-0.0673745606631267
1521,7c444370b,-0.06736797514193167
1432,2b8851e90,-0.06732305943549531
1765,e171bccbe,-0.06727232377687585
2924,3696a15a7,-0.06715079223458931
886,2ad4525cc,-0.06713280941604485
3897,a68b83290,-0.06699755243910574
1068,17b81a716,-0.0669258489244284
2703,7ca10e94b,-0.06691047207896714
1835,1254b628a,-0.06681802609488319
3709,6d46740f1,-0.06673778636318606
1705,1c68ee044,-0.06671146578017823
3386,6809065b9,-0.06652090035851707
3732,7f8027faf,-0.06644783183589674
4488,bb9aefe00,-0.06643100256989984
1077,81de0d45e,-0.06640474395881452
836,2b2a10857,-0.06627689847863771
1585,c2d200f0e,-0.066266392572195
505,ac308c9a3,-0.06624021994452611
4464,ca4eab5c5,-0.06622723382358577
372,4f0c5f900,-0.06619335643945386
644,3b6f67b0e,-0.06598347534153788
4031,652142369,-0.06595996814025275
3667,7b31055f1,-0.06595194602923825
625,525635722,-0.06589195034992244
4291,809a511d0,-0.0658424505279459
3953,37ac53919,-0.06584071386989668
3516,60d9fc568,-0.0656418954476197
258,212226b7b,-0.06538789237752689
2493,6cf9184bb,-0.06531946546817072
3142,1fbbd4edf,-0.06514650833876208
4100,38f5efd6d,-0.06510396671459681
1553,74fb8f14c,-0.06507932236883279
3003,88219c257,-0.064962179750704
632,d3a6362c5,-0.06478985179813682
2621,98d90a1d1,-0.0646831709695169
1305,d1fd0b9c2,-0.06458329962488736
3154,f1e0ada11,-0.06446791275205169
2120,71ac2b961,-0.064444637800072
4686,e431708ff,-0.06437937213394744
1189,2e55d0383,-0.06431458965097515
427,f926a4cb4,-0.06431303329508294
408,82c9b4fcd,-0.06425895167260459
2725,ecd4c66ec,-0.0641525229389013
4622,56ec098a1,-0.0639630658770252
3113,b5c4708ad,-0.06373371287392707
3383,ce999e374,-0.06351706489313955
4685,31e434a58,-0.06345022091132772
4275,c270cb02b,-0.06336152978571859
3700,f0317ca4f,-0.06319714317905624
1323,4e1a8f6eb,-0.06296246109591849
2694,f7c8c6ad3,-0.06293968944283829
4671,108fe14ef,-0.06286915824676233
3977,89cffafe9,-0.0627140993030601
3646,3ee95e3ef,-0.06266100038729423
739,07cb6041d,-0.06264171479196708
1602,3c27b0b28,-0.0625687856999909
260,c98c2d3c0,-0.062348114969074574
1704,28f75e1a5,-0.06230253144715461
2645,26cc05472,-0.06214972648392327
2848,ddfc3e604,-0.06200457962190397
495,b70c62d47,-0.06185482450688313
2302,3f8854df3,-0.06178486207107991
1615,589a5c62a,-0.06168728735647691
1213,105233ed9,-0.061495344951580516
1064,8160230fd,-0.06147930182155734
3264,850d3a6f5,-0.06137515305951131
3358,504c7e3bb,-0.06133861534742398
4448,1a82869a6,-0.06131054335442347
3129,56a21fe66,-0.06128169401718143
3297,5a798adc1,-0.061277896412238776
2809,bec7c48dd,-0.06123517107426224
4354,ef1e1fac8,-0.061211963305882446
1911,cd24eae8a,-0.06113115150840368
1663,8348ea8d3,-0.061123709800682456
1500,612bf9b47,-0.061069065168866024
922,b84b2f72d,-0.06098493588809111
3633,6a323434b,-0.06097407080428036
471,8f3740670,-0.06094996857466597
4081,414b74eaa,-0.060930062437612835
679,22501b58e,-0.06090977209587211
547,20442bac4,-0.060876844999112376
963,d8ea347e9,-0.06084913028432299
2677,74c5d55dc,-0.060758226953595895
1359,f4b374613,-0.06067143579471988
3654,b25319cb3,-0.06051429373376684
3439,3f382323a,-0.06037886892915719
1166,ccc9ba695,-0.06030808345440344
3221,f8de3e357,-0.060298325506006584
2843,42b407f0d,-0.06021879765666159
1375,c5cb7200e,-0.0602026863114484
2804,3e1100230,-0.06019184639514023
3854,73687e512,-0.060181768463872264
2149,9303c6806,-0.060108350475239936
4621,a396ceeb9,-0.060041224882148796
2042,2a2832b07,-0.059969078144732506
700,6ae0787f3,-0.059905137883907084
2401,3855aef1e,-0.0597909016410872
4146,9d6410ef5,-0.059666259176159774
2736,2ad744c57,-0.059604429320548026
1576,293e2698e,-0.059338442394430285
166,35da68abb,-0.05918039215607049
1564,d0f65188c,-0.05899962141616018
3510,bf6e38e39,-0.058861866463700736
382,d168174c7,-0.0587771587888014
381,a728310c8,-0.05877282848289444
1045,edc84139a,-0.058726248009560084
819,a5e0d3ddb,-0.05867784143902171
1623,25729656f,-0.05860472389090694
132,9d435a85b,-0.05844341730726262
3581,950b9cf2d,-0.05833082812418751
1395,38df6c628,-0.058286289833296985
2150,ce3c09a74,-0.058255873839148514
2331,621833d9b,-0.05818116393080965
617,f3b4de254,-0.057926811600317485
3625,8a4c53d3e,-0.05783783524513169
459,83b40fd93,-0.05782168872399279
3965,a6c9347a7,-0.05764098874324018
3105,05f1b68b8,-0.057560458969559886
4030,82f715995,-0.05751342626234392
3694,635fbbd2c,-0.05750240515576859
2338,cdbe394fb,-0.057481417647395075
1867,7f78a36f7,-0.05747960351914758
2590,e3a4596f9,-0.05743561854466219
225,adc70e02f,-0.057405648986767505
262,e8f065c9d,-0.05731868523507692
2464,f471e9e82,-0.05730004155385598
934,2c95e6e31,-0.057195696219623476
4318,ae141696e,-0.057182641378433194
608,18e3e1563,-0.057039768157028804
4372,699712087,-0.05696298142657716
1363,2123a4f36,-0.056945292868578044
1529,258412544,-0.05682997134383993
2936,f1fbe249b,-0.05682132228485708
587,9657e51e1,-0.05653285283349925
2895,5c56fccf1,-0.05642088673613779
1723,945dad481,-0.056357125022699905
2484,e3d33877c,-0.05634044549757722
2165,b5c839236,-0.056306370851018465
3020,f269ec9c8,-0.05615773577446997
2598,657dec16b,-0.056150879208633986
2610,2f587f6a4,-0.05613772861037094
73,b4ced4b7a,-0.056127783735636254
299,1110cf9ea,-0.05605421056837287
3184,e744cd6c0,-0.05602514524354216
265,d4e8dd865,-0.05599897492758418
1679,6456250f1,-0.05586700223382884
156,dd2fc27b0,-0.05586082667045345
1869,e157b2c72,-0.05585773222465389
3905,5cebca53f,-0.055823016726584795
397,22f0deffc,-0.055805272735594616
2928,3a48a2cd2,-0.05576652685220448
219,49db469f5,-0.05575121478609357
1237,ce1f5b02a,-0.055652018074828585
3620,bd7bea236,-0.05564482191483267
1645,440d789c5,-0.05560049636528625
3197,a388d3605,-0.0554008880112208
3555,219e051b5,-0.05538705523741631
3945,e49fea26e,-0.05492486055912943
586,052f67cfa,-0.054913001834598116
650,94ecf4c83,-0.05489603385429591
1016,f7eee8212,-0.05485578894242916
146,0564ff72c,-0.05484609411436913
879,4edc3388d,-0.05479486287832451
573,ca25aad9f,-0.0547016199248311
3277,2c42b0dce,-0.05466591177716704
2600,5fb85905d,-0.05463169183545413
4306,c75604498,-0.05459933506798462
3677,597d78667,-0.05445668914601713
3981,5263c204d,-0.05443914983965901
793,1ce203e4a,-0.054391823814237385
1299,3b6b46221,-0.05437751645401308
3073,0e141a57c,-0.05436915670241369
2247,9e0c57b34,-0.05436677634770698
3988,45f6d00da,-0.05435389259670554
1078,ea01904df,-0.05434838126444207
1109,9e9274b24,-0.05419282224316108
1435,aa610feec,-0.05416490962218673
1320,c5c073bb0,-0.05407448524402315
973,a6fbe0987,-0.053859733461382016
944,cc73678bf,-0.053834374952110194
1369,596104fd4,-0.053829353381863815
2167,5860d7fa9,-0.05373683992353424
841,f1a1562cd,-0.053716125308254814
362,64406f348,-0.05361184295337891
4188,23c780950,-0.05359467663980163
1719,5b8c88c94,-0.05344838519041101
1537,a6f9bb77e,-0.05339441388758978
1757,0106dd950,-0.05333693506586705
4131,758a9ab0e,-0.05333092315317819
874,aa164b93b,-0.053207154056909324
1587,f0aa40974,-0.053101757339836166
3323,4052a9419,-0.05303196021081656
673,47abb3cb4,-0.053017925182020496
334,0a52be28f,-0.05294620820248106
2796,773c101b5,-0.05290930127808684
897,77697c671,-0.05278938316286781
2106,00c467392,-0.052673466225703694
691,36d35623e,-0.05261776141689228
10,11d86fa6a,-0.05252664897396504
1342,f95a762b0,-0.052428496987754564
3397,fa2a340da,-0.05234550463904981
1985,edddb1ba5,-0.05233097689723309
41,ea18d720e,-0.05219976234090921
1408,b98f3e0d7,-0.052186365083688506
1152,e3a38370e,-0.05210892048519048
3746,304ebcdbc,-0.05207723578118365
2129,c0085a739,-0.05206554820851508
2501,8de6fcbf1,-0.05205006308290134
4207,fb5e1b2b7,-0.05201398440547496
2092,3af1785ee,-0.052007056740929286
26,0d866c3d7,-0.05198818903099746
2291,d3022e2f1,-0.051981293676586195
1431,c7753cbfc,-0.05187410987374047
611,d833db6e1,-0.05185420533119602
1569,947c7c3e8,-0.051767924846550434
2955,2c5809e51,-0.05168201931869723
4617,4634c8fae,-0.05154364065772741
1272,81ec47b4c,-0.05146042148866141
1923,2322dbbbb,-0.05138315146650703
1800,37d7af8ad,-0.05135165653139309
2857,850e01a62,-0.05134575358032494
1990,f8405f8b9,-0.05133109515025018
1288,6beb0b35d,-0.051315228500760264
2033,39549da61,-0.0512873339965541
921,a3ef40228,-0.05111090146412903
1184,7792cebe0,-0.05099361822201714
4604,96f5cf98a,-0.05095710434327822
1753,c89ae4ce0,-0.050944411038747146
4194,5d3b81ef8,-0.05094356300143325
486,1c554649c,-0.050889700423986835
2971,f81908ca5,-0.050770770870406386
1947,3d350431d,-0.050632216422027705
4715,85dcc913d,-0.05055692692612214
4046,c4592ac16,-0.05031692165328148
1185,14a22ab1a,-0.05031105730805885
2271,2488e17f5,-0.050304731974423325
742,b14d5014b,-0.05009911904996978
2383,c0c2f5403,-0.05009078534339888
581,d92ea0b2a,-0.050044065229602495
4567,b0310a768,-0.04994700758706233
3526,86ffb104c,-0.04981210646091213
1967,d83991b80,-0.04976075991927638
4040,94f3dcaee,-0.0497567553119218
3281,ed8951a75,-0.049747528714565434
1406,7f6e612c7,-0.04974587893386149
4602,c03c8799c,-0.04973912585462135
3414,3f6246360,-0.04972846527555284
3224,ced6a7e91,-0.049696013596023186
4347,f49ff3269,-0.04963519317932109
2729,a00adf70e,-0.049584712736331873
2142,0bb96a2ae,-0.04954043363543661
194,bc2bf3bcd,-0.04944484392298116
813,64e38e7a2,-0.049440607538877135
838,8f993c285,-0.04942295558237711
918,e222309b0,-0.049390550701702556
4399,9fb38aabe,-0.049383418284192716
2340,31a3f920c,-0.04937433081794778
1878,277ef93fc,-0.04935145372610695
4351,f23b7530c,-0.04930686620236706
769,df08959aa,-0.0492075846050016
255,5a53ebb69,-0.0491834657106452
2668,7def2d7d3,-0.04909697330557872
2520,8d035d41e,-0.04908489907417286
4252,55f4891bb,-0.04906874391868491
455,4a93ad962,-0.04906012890881455
4608,e79e5f72c,-0.049000982549337
3994,70f3033c6,-0.04877780659898844
2053,092271eb3,-0.04876033013786766
3451,208308a47,-0.04871685180958714
1884,29e58696d,-0.048524535036261245
1097,71659d45d,-0.04844886419273305
303,82ba7a053,-0.048397647556967134
3013,1904ce2ac,-0.04839252120544558
190,c035b5d2d,-0.048367274644577615
2727,a78f85d49,-0.04822282035613521
4479,6d0d72180,-0.04817024045106615
4473,a05f1bb14,-0.048145524377651225
744,8337d1adc,-0.04809736192727636
4632,f928893ca,-0.047927424310932845
1072,23099cfb2,-0.04782887556776687
2437,fc5690e51,-0.04774867732578018
1415,f16a196c6,-0.047699456896079746
4674,b904b8345,-0.047607236940697475
1241,dae4d14b4,-0.04756624615066812
4292,a3f2345bf,-0.047502129680702165
2609,07746dcda,-0.047399158763870214
4143,acd43607d,-0.04734228633075942
290,14a5969a6,-0.04732018842100867
1140,a3fb71dbd,-0.047303624779280504
2205,48b839509,-0.04727669173913093
3899,8136ce6e4,-0.04719047744630578
294,4c60b70b8,-0.04713405543774934
1329,704e2dc55,-0.04706854086683025
3107,e0cad27c5,-0.047049290454825005
2101,212e51bf6,-0.04704857408390103
2015,3eac9a76e,-0.04701682180170699
2597,d2ef684ed,-0.04696591451521747
2497,b2e1308ae,-0.04693174798652675
2710,be90775f4,-0.04683457482404126
3420,62c547c8e,-0.046834227196960704
4381,e0ceabad4,-0.046833274884425014
4420,b4cd81ecd,-0.0468081530431579
1014,2ef8b7f4f,-0.04675226506263636
3910,22f05c895,-0.04671568343341543
1731,13f7f9c70,-0.046712152127877646
3884,4b9540ab3,-0.04663525572377865
2406,18562fc62,-0.046548096118808946
938,ad1466df8,-0.04647690870355433
4507,76e092b8c,-0.04645259894276514
2993,18c0b76e9,-0.04638986364936669
269,b0b1c81ac,-0.04637580971269305
1972,baa95693d,-0.04635015334600286
1092,92ba988e1,-0.046307211135016436
2649,61063fa1c,-0.04617312451984609
4725,3ecc09859,-0.046170932731695646
4614,8bde3e628,-0.04612692155182861
2188,b6d206324,-0.046093747833003684
4089,b14026520,-0.04608576084167652
772,157d8e6e5,-0.04606583673923458
3357,f65a34c05,-0.04600440283085595
1732,03b8b1f2d,-0.04600010704897921
840,32c6f9aa6,-0.04597145969618051
911,1d744ff92,-0.04596735130633162
1881,3e4a6796d,-0.04596090358055208
2441,fcda960ae,-0.04594488604757618
2752,5b318b659,-0.045904864498520215
103,251d1aa17,-0.04574365172090669
17,b8a716ebf,-0.0456437704748683
3476,0ccd5ff1c,-0.045634315437312244
4673,5fad07863,-0.04560226285940463
448,94ef80b78,-0.04560132820528107
50,2d6bd8275,-0.045595642207021315
3392,e3fd6fa46,-0.0455859219521166
748,0a7c079ff,-0.0455762534687468
1331,bbbff9657,-0.04556527408791327
356,3be79d4a5,-0.045534287672562505
1957,f8ee2386d,-0.045507825221114906
2588,e637e8faf,-0.045448908240367264
3496,8016f08af,-0.045443012040279465
1776,1b681c3f0,-0.045368029449142505
3735,403e7e48d,-0.04533216808982756
369,2761e2b76,-0.04531294791647797
165,d318bea95,-0.045187060200733
3629,7b58b1340,-0.04518653637948003
4517,51d5e73a8,-0.04515029781894718
2820,fc02e674d,-0.04511096552454261
3379,856856d94,-0.04494330154413223
1520,5b943716b,-0.044836646401686074
159,7207afb67,-0.04483591869957535
3659,b95be4138,-0.044766103341575256
1033,540cc3cd1,-0.04474974423246256
3501,1e1cb47f3,-0.04471609433858323
3551,8291f21d8,-0.04471217231417817
151,2f92a1a45,-0.04454827295445062
3532,fd99222ee,-0.04451867477559026
4644,1d81e197a,-0.04446747720707522
1294,d7978c11c,-0.04445380972108333
3042,003da5628,-0.044356450615823405
4129,dbb9a63fa,-0.04429267828279708
4682,f642213a6,-0.04426582988923426
390,2b85882ad,-0.04425620705184581
760,4bdeca0d2,-0.04419675992731414
3019,773180cf6,-0.044105185640329246
161,4b6c549b1,-0.04400900900689145
30,22ed6dba3,-0.04390846239564122
984,98af380ad,-0.043858067307964314
881,7fa5bc19f,-0.043679702656813583
1856,9f2f1099b,-0.043664264269374135
385,5547d6e11,-0.043658400220719776
1505,657d07d19,-0.043592210493779385
2576,4ef309fc3,-0.04358524610531196
1482,d24a55c98,-0.04356710840299862
4541,cb71f66af,-0.043565978622643955
3729,5e59e07d5,-0.04344930655525167
4629,13f3a3d19,-0.04337914769771079
3876,6610f90f1,-0.04313782025972161
4208,402b0d650,-0.04297490800888402
3336,5e62457b7,-0.04296358175462861
1920,788e6045c,-0.042945310763178486
3143,dd4649092,-0.042911297040428724
981,33288f3b2,-0.04280567833941029
4114,4d6a1439e,-0.04263278766176934
2366,37fb8b375,-0.04260205963679774
4634,e9a473fbb,-0.0425675675041028
2317,01f7de15d,-0.04256163692344365
1789,bc56b26fd,-0.0425608409698438
3170,48130b04b,-0.042497192566453935
4032,5239ceb39,-0.04247495228913417
4340,760ef38f1,-0.04246985689130928
3393,fd812d7e0,-0.04234538410277524
323,c69492ae6,-0.04229967836552107
774,37bd241bb,-0.04229521460035249
1220,66671ad38,-0.042286835447684225
1059,24bcc2f15,-0.04218216827838821
818,af91c41f0,-0.04212676367006019
1978,0b139c060,-0.0421113724324933
2526,fa422ab84,-0.04202553240827301
4013,2bbcbf526,-0.0419586497318906
4293,7610d0f28,-0.04186435896492855
2742,f41af7c85,-0.04180258484381122
2845,025172af5,-0.041771614276594024
4456,640a36efb,-0.04152789479537207
1849,c2dae3a5a,-0.0415089344138334
1006,c104aeb2e,-0.04149836921104487
208,526ed2bec,-0.041390195242437824
3381,467bee277,-0.04133758802647444
5,30347e683,-0.041327415412729926
4121,6ae9d58e0,-0.041257854050854754
1979,8d8276242,-0.04122358776235102
1031,66891582e,-0.041199028725801654
919,219982fda,-0.04106012430112458
